Date,Drill,Athlete Identifier,Playing Position,Start Time,Duration,Participation,Distance Covered(m),Distance Zone 1,Distance Zone 2,Distance Zone 3,Distance Zone 4,Distance Zone 5,Distance Zone 6,Max Speed,Avg Speed,Max HR,Avg HR,HR Exertion,Time in HR Zone 1,Time in HR Zone 2,Time in HR Zone 3,Time in HR Zone 4,Time in HR Zone 5,Time in HR Zone 6,Speed Exertion,Sprint Count,Accelerations Zone 1,Accelerations Zone 2,Accelerations Zone 3,Decelerations Zone 1,Decelerations Zone 2,Decelerations Zone 3,New Bodyload,Impacts Zone 1,Impacts Zone 2,Impacts Zone 3,Impacts Zone 4,Impacts Zone 5,Impacts Zone 6,Running Series,Running Imbalance,Running Imbalance Standard Deviation,Running Symmetry Footstrikes,Metabolic Load Time Zone 1,Metabolic Load Time Zone 2,Metabolic Load Time Zone 3,Metabolic Load Time Zone 4,Metabolic Load Time Zone 5,Metabolic Load (relative),Metabolic Power Average,High-Metabolic-Power Distance,Equivalent Distance,Metabolic Load Distance Zone 1,Metabolic Load Distance Zone 2,Metabolic Load Distance Zone 3,Metabolic Load Distance Zone 4,Metabolic Load Distance Zone 5,Metabolic Load (absolute),Repeat Sprints,Sprint Max Acceleration,Sprint Total Distance,Work Rate Effort Count,Work Rate Effort Duration,Work Rate Effort Distance
22/10/15,Warm Up,P01,Midfielder,22/10/15 17:54,3.9,Full,473.2,8.7,16.7,447.8,0,0,0,12.1,7.3,190,142.9,6.6,0,0.1,1.1,1.4,0.1,0.1,79.3,0,2,0,0,0,0,0,3.6,868,0,0,0,0,0,0,0,0,0,0.7,2.4,0,0,0,2.2,9.3,4.4,467.1,62,406.5,4.4,0,0,195.2,0,0,0,3,0.002083,428.9
22/10/15,Passing Practice,P01,Midfielder,22/10/15 18:03,16.4,Full,1082.8,101,220.5,479.1,262.9,19.4,0,21.6,4,121,72.6,1,0.3,0.3,0,0,0,0,228,15,34,15,0,34,4,0,15.3,1365,109,6,1,0,1,1,13.5,0,11,5.3,2.5,0.8,0.2,0.1,5.7,5.8,251.5,1221.4,385.2,442.5,178.6,57.2,15.8,510.5,6,2.9,264.5,7,0.004861,702.9
22/10/15,Acceleration Runs,P01,Midfielder,22/10/15 18:21,3.7,Full,344.3,27.3,156.9,10.8,41,108.3,0,24.4,5.6,0,0,0,0,0,0,0,0,0,88.3,4,0,0,4,0,4,0,5.4,166,22,18,3,0,0,0,0,0,0,2.5,0.1,0.1,0.1,0.1,1.9,8.5,124.4,408,199.3,20.2,52.9,42.7,28.8,170.5,0,3.8,134.4,2,0.001389,213.4
22/10/15,Combination Play,P01,Midfielder,22/10/15 18:28,26.5,Full,2108.2,250.1,572.1,822.4,458.1,5.5,0,20.4,4.8,118,89.2,0.5,0.1,0.3,0,0,0,0,371.3,31,82,28,3,73,23,19,33.3,2217,216,55,2,1,0,1,3.1,0,10,12,3.6,1.9,0.5,0.1,11,6.9,543.2,2370.7,949.1,611.9,404.8,125.1,13.3,990.9,13,3.3,309.2,13,0.009028,1427.8
22/10/15,11v11,P01,Midfielder,22/10/15 18:59,12.1,Full,1447.7,85.7,306.7,542.1,439.7,73.5,0,23.9,7.2,185,126.2,1.6,0.1,0.1,0,0,0,0.2,354.1,10,47,10,0,45,12,3,25.3,1584,191,43,7,0,0,5,3.3,2.4,54,5.6,2.8,1.3,0.4,0,7.4,10.2,430.6,1589.9,493.7,520.4,313.1,109,8.5,664.5,1,2.8,129.8,10,0.006944,1333.2
22/10/15,Warm Up,P02,Attacker,22/10/15 17:54,3.9,Full,503.4,4.6,36,462.8,0,0,0,12.2,7.8,165,165,0.5,0,0,0,0,0.1,0,78.8,0,1,0,0,1,0,0,5.5,735,42,0,0,0,0,0,0,0,0,0.8,2.5,0,0,0,2.3,9.9,1.8,499,60.3,441,1.8,0,0,208.6,0,0,0,3,0.002083,446.3
22/10/15,Passing Practice,P02,Attacker,22/10/15 18:03,16.4,Full,1090.5,83.4,229.8,492.9,275.2,9.3,0,21.3,4,132,107,0.5,0.1,0.4,0.1,0,0,0,231.6,6,46,6,0,29,5,0,25.1,1198,277,36,3,0,0,6,9.4,5.5,72,4.8,2.8,0.9,0.1,0,5.5,5.6,221.9,1194.7,367.8,497.4,182.8,36.6,2.5,499.3,1,2.7,55.3,6,0.004167,601.6
22/10/15,Acceleration Runs,P02,Attacker,22/10/15 18:21,3.7,Full,343.8,17.7,165.6,13.4,33.2,69.9,43.9,26,5.6,0,0,0,0,0,0,0,0,0,133.9,4,0,2,2,0,4,0,10.6,117,45,25,11,0,0,0,0,0,0,2.5,0.1,0.1,0.1,0.1,1.9,8.7,122.6,419.7,194.1,25.8,36.9,40.5,45.2,175.4,0,3.9,132.7,2,0.001389,213.6
22/10/15,Combination Play,P02,Attacker,22/10/15 18:28,26.5,Full,1100.8,79.9,338.1,450.7,212.5,19.6,0,21.7,2.5,134,115,4.4,0,3,1.2,0,0,0,194,12,42,12,0,27,9,8,27,983,225,41,13,2,0,0,0,0,0,6.3,1.9,0.9,0.2,0,5.6,3.6,258.6,1214,503.3,336.9,189.7,62.1,6.8,507.4,7,2.7,117.2,6,0.004167,739
22/10/15,11v11,P02,Attacker,22/10/15 18:59,12.1,Full,1312.2,83.6,397,447.4,313.3,70.9,0,24.6,6.5,0,0,0,0,0,0,0,0,0,276.8,6,37,6,0,27,9,2,29.7,1101,256,59,13,0,1,2,16.2,4.3,23,6.8,2.4,0.9,0.3,0,6.5,9,309,1407.2,573,427.6,202.5,101,5.5,588.1,0,2.6,106.6,10,0.006944,1207.8
